relKeyword,monthlyPcQcCnt,monthlyMobileQcCnt,monthlyTotalQcCnt,monthlyAvePcClkCnt,monthlyAveMobileClkCnt,monthlyAvePcCtr,monthlyAveMobileCtr,plAvgDepth,compIdx,sourceSeeds
이혼로펌,790,40,830,0,0.6,0,1.34,10,높음,재산분할 변호사
재산분할상담,790,30,820,0,0.8,0,2.67,7,높음,재산분할 변호사
이혼재산분할합의서,810,10,820,0,0,0,0,7,높음,재산분할 변호사
이혼변호사선임,800,20,820,0.1,0.4,0.03,1.91,7,높음,재산분할 변호사
이혼전담변호사,810,< 10,820,0.1,1.2,0.03,17.15,7,높음,재산분할 변호사
이혼전문변호,790,30,820,0,0.6,0,2,7,높음,재산분할 변호사
가출이혼,780,40,820,0,0.2,0,0.55,10,높음,재산분할 변호사
이승혜변호사,160,650,810,0,0,0,0,0,낮음,창원 성범죄 변호사
대구음주운전전문변호사,330,480,810,0,1.6,0,0.34,10,높음,창원 음주운전 변호사
인천음주운전전문변호사,290,520,810,0.3,0,0.11,0,10,높음,창원 음주운전 변호사
이혼재산분할소송,790,20,810,0,0.8,0,3.85,7,높음,재산분할 변호사
이혼항소,790,20,810,0,0,0,0,10,높음,재산분할 변호사
사실혼전문변호사,800,< 10,810,0,0.8,0,10,7,높음,재산분할 변호사
양육비소송비용,770,40,810,0,0.6,0,1.77,10,높음,재산분할 변호사
김포이혼전문변호사,100,700,800,0.1,3.4,0.15,0.5,7,높음,창원 이혼 변호사
동탄이혼,790,< 10,800,0,0,0,0,7,높음,창원 이혼 변호사 | 재산분할 변호사
이혼재산분할상담,770,30,800,0,2.8,0,8.24,7,높음,재산분할 변호사
여자이혼변호사,780,20,800,0,0,0,0,7,높음,재산분할 변호사
대구강제추행변호사,490,300,790,0,0.2,0,0.07,7,높음,창원 성범죄 변호사
재산분할이혼,780,10,790,0,0,0,0,7,높음,재산분할 변호사
사실혼변호사,770,20,790,0.1,0.8,0.02,4.22,10,높음,재산분할 변호사
부산재산분할변호사,770,10,780,0,1.2,0,10.91,7,높음,창원 이혼 변호사
의정부이혼변호사,260,520,780,0.2,3,0.08,0.66,10,높음,창원 이혼 변호사
의정부형사전문변호사,490,290,780,2.1,2.6,0.46,0.9,10,높음,창원 변호사
대전성범죄변호사,570,200,770,1.6,5.6,0.32,2.78,10,높음,창원 성범죄 변호사
대구성추행변호사,330,440,770,0.3,2.4,0.09,0.54,7,높음,창원 성범죄 변호사
안산이혼전문변호사,490,280,770,1.1,5.6,0.24,2.21,10,높음,창원 이혼 변호사
강릉변호사,180,590,770,0.1,8,0.06,1.39,10,높음,창원 변호사
재산분할청구,740,20,760,0,0,0,0,7,높음,재산분할 변호사
이혼소송전문,750,10,760,0,0.6,0,4,7,높음,재산분할 변호사
정보통신망법위반,210,540,750,0.1,3.4,0.05,0.65,10,높음,사이버 명예훼손 변호사
부산법률사무소,130,620,750,1.3,5.8,1.04,0.99,10,높음,창원 변호사
친권,200,540,740,0.1,0.2,0.06,0.05,10,높음,재산분할 변호사
자살방조죄,90,640,730,0,1,0,0.17,7,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
면접교섭불이행,60,670,730,0.4,4,0.62,0.64,10,높음,재산분할 변호사
서울음주운전변호사,630,90,720,0,1.2,0,1.45,10,높음,창원 형사전문변호사 | 창원 음주운전 변호사 | 창원 변호사
의정부성범죄변호사,610,100,710,0.2,0.5,0.04,0.46,10,높음,창원 성범죄 변호사
강남형사전문변호사,470,230,700,0.2,0.6,0.05,0.27,10,높음,창원 형사전문변호사 | 창원 형사 변호사
합의이혼서류양식,260,440,700,1.7,2.6,0.72,0.68,10,높음,재산분할 변호사
성매매변호사,270,420,690,0.5,4,0.3,1.19,10,높음,창원 성범죄 변호사
대전형사변호사,230,450,680,0.5,7.6,0.23,1.71,10,높음,창원 형사전문변호사 | 창원 형사 변호사
성범죄피해자변호사,360,300,660,0.7,9.8,0.22,3.24,10,높음,창원 성범죄 변호사
광주형사전문변호사,490,170,660,1.3,4.8,0.29,2.91,10,높음,창원 형사전문변호사 | 창원 형사 변호사
정보통신망이용촉진및정보보호등에관한법률,560,100,660,0,0,0,0,7,높음,사이버 명예훼손 변호사
인천법률사무소,140,520,660,0.7,7.4,0.52,1.51,10,높음,창원 변호사
대전법무법인,90,560,650,3.4,10.4,3.66,2,10,높음,창원 사기 변호사 | 창원 변호사
허위사실유포,200,450,650,0.3,2.2,0.15,0.51,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
명예훼손공소시효,110,540,650,0.7,8.8,0.66,1.73,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
협의이혼합의서,230,420,650,1,3.4,0.46,0.86,10,높음,재산분할 변호사
대구변호사사무실,440,210,650,0.6,7.6,0.15,3.68,10,높음,창원 변호사
부산강제추행변호사,350,290,640,0,0.6,0,0.21,10,높음,창원 성범죄 변호사
사이버명예훼손,220,410,630,0.5,1.6,0.23,0.42,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
유튜브댓글고소,120,510,630,0.1,0.8,0.09,0.17,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
울산형사전문변호사,220,400,620,0.3,3,0.15,0.82,10,높음,창원 형사전문변호사 | 창원 형사 변호사 | 창원 변호사
서울법률사무소,50,570,620,0.6,1.8,1.02,0.33,10,높음,창원 변호사
광주형사변호사,360,240,600,0,3.2,0,1.43,10,높음,창원 형사전문변호사 | 창원 형사 변호사
상속분할협의서양식,300,300,600,0.5,1.8,0.18,0.67,10,높음,재산분할 변호사
상속재산분할소송,220,370,590,1.3,6,0.61,1.72,10,높음,재산분할 변호사
부천법무법인,40,550,590,0,1.8,0,0.36,10,높음,창원 변호사
모욕죄고소,110,470,580,0.3,4.8,0.27,1.06,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
김천지원,320,250,570,0,0,0,0,0,낮음,창원 음주운전 변호사
선박안전법,410,160,570,0,0,0,0,3,높음,모욕죄 변호사
부산변호사사무실,350,220,570,0.8,3,0.25,1.4,10,높음,창원 변호사
경주변호사,240,330,570,0.9,5,0.39,1.57,10,높음,창원 변호사
성남이혼전문변호사,340,220,560,0.5,2.2,0.16,1.05,10,높음,창원 이혼 변호사
여수변호사,250,310,560,0.3,4.8,0.12,1.61,10,높음,창원 변호사
전주음주운전변호사,90,460,550,0.3,1,0.34,0.25,10,높음,창원 음주운전 변호사
모욕죄합의금,90,460,550,0.4,4.4,0.47,1,7,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
부산변호사상담,160,390,550,0.8,8.6,0.52,2.34,10,높음,창원 변호사
강릉교통사고,70,480,550,0,1.4,0,0.32,8,중간,창원 변호사
전주형사전문변호사,50,490,540,0.3,5.6,0.63,1.2,10,높음,창원 형사 변호사
전주형사변호사,80,450,530,1,2.2,1.25,0.53,10,높음,창원 형사전문변호사 | 창원 형사 변호사
천안형사전문변호사,210,310,520,0,1.8,0,0.61,10,높음,창원 형사전문변호사 | 창원 형사 변호사
정보통신법위반,100,420,520,0.7,6.6,0.69,1.63,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
광주성범죄변호사,390,120,510,0,2.2,0,1.87,10,높음,창원 성범죄 변호사
부산학교폭력변호사,390,120,510,0.7,3.2,0.19,2.67,10,높음,창원 사기 변호사
창원이혼변호사,300,210,510,0.4,10.4,0.14,5.26,10,높음,창원 이혼 변호사 | 창원 변호사
안양이혼전문변호사,340,170,510,0.7,6.2,0.22,3.76,10,높음,창원 이혼 변호사
욕설모욕죄,70,440,510,0,0,0,0,3,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
강남구변호사,250,260,510,0,0.3,0,0.1,10,높음,창원 변호사
강남법률사무소,50,460,510,0.1,0.8,0.29,0.19,7,높음,창원 변호사
광주음주운전변호사,410,90,500,0.6,1,0.15,1.15,10,높음,창원 음주운전 변호사
명예훼손죄성립요건,130,370,500,0.2,5.6,0.16,1.51,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
양육비부담조서,210,290,500,0.1,0.2,0.05,0.08,10,높음,재산분할 변호사
울산법률사무소,20,480,500,0.1,5.6,0.44,1.19,10,높음,창원 변호사
대구법률사무소,80,420,500,0.8,2.6,1.1,0.66,10,높음,창원 변호사
김포변호사,260,240,500,0.1,5,0.05,2.19,10,높음,창원 변호사
형사고소비용,90,400,490,0.9,5.2,0.95,1.35,7,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
상속재산분할심판청구,240,250,490,0.3,2.6,0.13,1.05,10,높음,재산분할 변호사
창원음주운전변호사,370,110,480,0.1,2,0.03,1.77,10,높음,창원 검사출신 변호사 | 창원 형사전문변호사 | 창원 음주운전 변호사 | 창원 이혼 변호사 | 창원 형사 변호사 | 창원 변호사
평택이혼전문변호사,320,160,480,0.2,3.6,0.07,2.3,10,높음,창원 이혼 변호사
롤패드립고소,210,270,480,1.2,2.4,0.63,0.96,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
친권자동의서,180,300,480,0.2,1,0.12,0.36,10,높음,재산분할 변호사
울산법무법인,180,300,480,0.8,5.2,0.46,1.78,10,높음,창원 변호사
천안이혼변호사,250,220,470,0.7,10.8,0.29,5,10,높음,창원 이혼 변호사
광주법무법인,70,400,470,0.7,8.4,0.99,2.2,10,높음,창원 변호사
포항이혼전문변호사,220,240,460,0.9,3.4,0.45,1.53,10,높음,창원 이혼 변호사
구미이혼전문변호사,200,260,460,0.1,3.4,0.06,1.4,10,높음,창원 이혼 변호사
광주법률사무소,30,430,460,0.2,4,0.77,1.02,10,높음,창원 변호사
사자명예훼손,130,320,450,0.1,2.2,0.08,0.7,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
부천이혼변호사,220,220,440,1.5,5.4,0.71,2.48,10,높음,창원 이혼 변호사
혼전계약서,90,350,440,0.4,2.3,0.48,0.68,10,높음,재산분할 변호사
부산서부지청,140,290,430,0,1.8,0,0.63,6,중간,창원 성범죄 변호사 | 창원 검사출신 변호사 | 창원 형사전문변호사 | 창원 음주운전 변호사 | 창원 형사 변호사 | 창원 변호사
모해위증죄,110,320,430,0,4.6,0,1.47,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
울산변호사상담,50,380,430,1.1,14.2,1.93,3.78,10,높음,창원 변호사
군산변호사,100,330,430,1.6,10.8,1.6,3.43,10,높음,창원 변호사
대구변호사상담,170,260,430,1,17,0.59,6.83,10,높음,창원 변호사
성범죄처벌,260,150,410,0.2,2.2,0.09,1.52,10,높음,창원 성범죄 변호사
김해변호사,220,190,410,0.1,3.2,0.05,1.87,10,높음,창원 검사출신 변호사 | 창원 형사전문변호사 | 창원 음주운전 변호사 | 창원 이혼 변호사 | 창원 형사 변호사 | 창원 변호사
전주학교폭력변호사,20,390,410,0,1.9,0,0.52,10,높음,창원 이혼 변호사
수원법률사무소,130,280,410,0.5,3.2,0.41,1.17,10,높음,창원 변호사
평택이혼변호사,230,170,400,0.2,3.8,0.09,2.52,10,높음,창원 이혼 변호사
이혼과정,50,350,400,0.1,0.8,0.18,0.25,10,높음,재산분할 변호사
이혼종류,60,340,400,0.4,3.8,0.64,1.2,10,높음,재산분할 변호사
협의이혼기간,60,330,390,0,2,0,0.65,10,높음,재산분할 변호사
수원변호사사무실,310,80,390,0,3,0,3.62,10,높음,창원 변호사
거제변호사,100,280,380,1.1,4,1.08,1.46,10,높음,창원 검사출신 변호사 | 창원 형사전문변호사 | 창원 변호사
부산이혼상담,160,220,380,0.1,7.4,0.07,3.46,10,높음,창원 이혼 변호사
남양주이혼변호사,210,170,380,0.1,3,0.05,1.78,10,높음,창원 이혼 변호사
롤욕설고소,180,200,380,0.8,1.1,0.46,0.56,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
온라인고소,180,190,370,0.1,1.1,0.06,0.65,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
부산법률상담,220,150,370,0.2,1.8,0.1,1.22,10,높음,창원 변호사
부산로펌,210,160,370,0.4,4.2,0.2,2.66,10,높음,창원 변호사
김해이혼전문변호사,190,170,360,0.1,2,0.06,1.26,10,높음,창원 이혼 변호사 | 창원 변호사
대구사기변호사,290,70,360,0,3.2,0,4.58,10,높음,모욕죄 변호사
이혼법원,40,320,360,0.1,1.1,0.36,0.38,7,높음,재산분할 변호사
합의이혼신청서,140,220,360,0.1,1.5,0.08,0.73,10,높음,재산분할 변호사
법무법인부산,120,240,360,1.1,4.3,0.91,1.87,10,높음,창원 변호사
창원성범죄변호사,270,80,350,0.1,0.8,0.04,0.98,10,높음,창원 성범죄 변호사 | 창원 변호사
재산분할합의서,160,190,350,0.2,0.6,0.13,0.33,10,높음,재산분할 변호사
세종변호사,140,210,350,0.3,4.8,0.22,2.3,10,높음,창원 변호사
안산형사전문변호사,190,150,340,0.1,3.8,0.06,2.59,10,높음,창원 형사전문변호사 | 창원 형사 변호사
감치명령,80,260,340,0,0,0,0,3,높음,재산분할 변호사
사실혼상속,70,270,340,0.2,1.4,0.26,0.54,10,높음,재산분할 변호사
페노바르비탈,90,240,330,0,0.5,0,0.23,2,중간,마약 변호사
명예훼손처벌,70,260,330,0.2,0.6,0.28,0.24,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
사자명예훼손죄,80,250,330,0,0.8,0,0.34,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
이혼판결문,80,250,330,0.1,1.6,0.13,0.68,10,높음,재산분할 변호사
인천이혼상담,200,120,320,0.1,1.2,0.06,0.96,10,높음,창원 이혼 변호사
이혼신청서류,80,240,320,0.3,1.1,0.38,0.49,10,높음,재산분할 변호사
용인변호사,130,190,320,0.4,3.4,0.32,1.79,10,높음,창원 변호사
대전법률상담,80,240,320,0.1,3.6,0.14,1.49,10,높음,창원 변호사
청주음주운전변호사,150,160,310,0.1,3.4,0.07,2.43,10,높음,창원 음주운전 변호사
마약사건변호사,250,60,310,0.1,1.6,0.04,2.67,10,높음,마약 변호사
공무상비밀누설죄,80,230,310,0.4,1,0.53,0.45,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
충주변호사,90,220,310,0.9,5.6,0.99,2.71,10,높음,창원 변호사
청주형사전문변호사,180,120,300,0.5,6.2,0.28,5.09,10,높음,창원 형사전문변호사 | 창원 형사 변호사 | 창원 변호사
이혼카페,50,250,300,0,1.6,0,0.69,10,높음,재산분할 변호사
이혼접수서류,40,260,300,0,0,0,0,3,높음,재산분할 변호사
제주도변호사,50,250,300,0.3,5,0.58,2.07,10,높음,창원 변호사
안산음주운전,60,230,290,0,0,0,0,3,높음,창원 음주운전 변호사
부천음주운전변호사,230,60,290,0,0.7,0,1.24,10,높음,창원 음주운전 변호사
악플고소,60,230,290,0,3.6,0,1.6,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
안동변호사,40,250,290,0.1,3.4,0.23,1.45,10,높음,창원 변호사
속초변호사,40,250,290,0.2,4.6,0.43,1.86,10,높음,창원 변호사
마약수사,100,180,280,0.6,0.6,0.63,0.36,10,높음,마약 변호사
휴대폰명의도용,70,210,280,0.9,6,1.33,2.98,10,높음,사이버 명예훼손 변호사
베트남변호사,20,260,280,1,5,3.58,1.95,7,중간,모욕죄 변호사
경찰고소,90,190,280,0,1.2,0,0.63,10,높음,모욕죄 변호사
사실혼기간,30,250,280,0,1.7,0,0.74,10,높음,재산분할 변호사
이혼서류접수,40,240,280,0,1.6,0,0.73,10,높음,재산분할 변호사
이혼후자녀,10,270,280,0,0.3,0,0.13,3,높음,재산분할 변호사
서산변호사,120,160,280,8.2,6,6.51,3.64,10,높음,창원 변호사
인천변호사사무실,210,70,280,0.2,1.2,0.11,1.72,10,높음,창원 변호사
천안변호사상담,130,150,280,0.3,6,0.23,4.11,10,높음,창원 변호사
창원법률사무소,110,160,270,0.5,5.4,0.47,3.56,10,높음,창원 검사출신 변호사 | 창원 형사전문변호사 | 창원 음주운전 변호사 | 창원 이혼 변호사 | 창원 변호사
마약초범,110,160,270,0,1,0,0.68,10,높음,마약 변호사
미추홀법률사무소,40,230,270,0.4,1.8,1.03,0.81,7,높음,창원 형사 변호사
모욕죄공연성,60,210,270,0,0.5,0,0.23,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
인터넷고소,140,130,270,0,0,0,0,3,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
이혼준비서류,40,230,270,0,1.5,0,0.71,10,높음,재산분할 변호사
광주법률상담,80,190,270,0,1.4,0,0.74,10,높음,창원 변호사
순천형사전문변호사,10,260,270,0,2.2,0,0.86,7,높음,창원 변호사
부산성추행변호사,210,50,260,0,1.6,0,3.48,7,높음,창원 성범죄 변호사
사이버모욕죄,70,190,260,0.3,0.4,0.4,0.23,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
명예훼손합의금,50,210,260,0.1,0,0.22,0,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
친권포기각서,30,230,260,0,1.2,0,0.55,10,높음,재산분할 변호사
진주변호사사무실,30,230,260,0,2.4,0,1.2,10,높음,창원 변호사
고양형사전문변호사,240,10,250,0,0,0,0,7,높음,창원 형사전문변호사 | 창원 형사 변호사
울산형사변호사,70,180,250,0.9,2.4,1.27,1.36,10,높음,창원 형사전문변호사 | 창원 형사 변호사 | 창원 변호사
의정부음주운전변호사,160,90,250,0,0.8,0,0.87,10,높음,창원 음주운전 변호사
포항이혼변호사,150,100,250,0.4,7.4,0.28,7.4,10,높음,창원 이혼 변호사
제주이혼변호사,190,60,250,0,3.2,0,4.78,10,높음,창원 이혼 변호사
창원형사변호사,190,50,240,0.1,1.6,0.06,3.14,10,높음,창원 성범죄 변호사 | 창원 검사출신 변호사 | 창원 형사전문변호사 | 창원 음주운전 변호사 | 창원 이혼 변호사 | 창원 형사 변호사 | 창원 변호사
부산음주운전전문변호사,200,40,240,0.1,0.6,0.08,1.41,7,높음,창원 음주운전 변호사
마약수사직,50,190,240,0.1,0.2,0.21,0.12,10,높음,마약 변호사
혼인취소,60,180,240,0,0.7,0,0.4,10,높음,재산분할 변호사
다산법무법인,10,230,240,0.1,1.8,0.59,0.85,10,높음,창원 변호사
광주로펌,80,160,240,0.1,2,0.14,1.21,10,높음,창원 변호사
김천변호사,110,130,240,0.4,4.4,0.38,3.47,10,높음,창원 변호사
안산음주운전변호사,150,80,230,0,2.6,0,3.21,10,높음,창원 음주운전 변호사
성남이혼변호사,180,50,230,0.2,2.8,0.12,5.19,10,높음,창원 이혼 변호사
흡입제,60,170,230,0,0,0,0,3,높음,마약 변호사
온라인사기,100,130,230,0.1,1.4,0.1,1.12,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
진주이혼전문변호사,60,170,230,0.4,3.2,0.67,2.1,10,높음,창원 변호사
이천변호사,30,200,230,0.2,8.6,0.67,4.3,10,높음,창원 변호사
수원로펌,170,60,230,0.4,0.4,0.24,0.66,10,높음,창원 변호사
창원변호사사무실,70,150,220,0,5.8,0,4.21,10,높음,창원 검사출신 변호사 | 창원 형사전문변호사 | 창원 음주운전 변호사 | 창원 이혼 변호사 | 창원 형사 변호사 | 창원 변호사
남양주음주운전변호사,130,90,220,0,0,0,0,7,높음,창원 음주운전 변호사
제주음주운전,40,180,220,0,0,0,0,3,높음,창원 음주운전 변호사
대전이혼변호사상담,30,190,220,0.9,7.2,2.32,3.88,7,높음,창원 이혼 변호사
마약처벌,60,160,220,0.2,0.4,0.34,0.25,10,높음,마약 변호사
명예훼손변호사,60,160,220,1,7.4,1.59,4.69,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
사이버고소,100,120,220,0.5,0.6,0.55,0.56,10,높음,사이버 명예훼손 변호사
집행유예실효,90,130,220,0,0,0,0,3,높음,창원 변호사
법무법인대전,10,210,220,0.4,2.3,3.27,1.15,8,중간,창원 변호사
송도법무법인,20,200,220,0.6,1,2.95,0.64,7,높음,창원 변호사
부산상간소송,80,130,210,0,1.8,0,1.38,10,높음,창원 이혼 변호사
이혼재산분할협의서,90,120,210,0.2,0.2,0.22,0.2,10,높음,재산분할 변호사
국제이혼,70,140,210,1.2,3.4,1.67,2.42,10,높음,재산분할 변호사
친권자변경,50,160,210,0,1.4,0,0.87,10,높음,재산분할 변호사
진주법률사무소,20,190,210,0,1.6,0,0.94,10,높음,창원 변호사
광주변호사상담,50,160,210,0.6,7.6,1.2,4.88,10,높음,창원 변호사
부산형사사건변호사,110,90,200,0.3,6.8,0.29,7.4,10,높음,창원 성범죄 변호사 | 창원 형사전문변호사 | 창원 형사 변호사 | 창원 변호사
천안형사변호사,110,90,200,0,1,0,1.3,10,높음,창원 형사전문변호사 | 창원 형사 변호사
재판상이혼사유,110,90,200,0,1,0,1.1,7,높음,재산분할 변호사
가사사건,50,150,200,0,0,0,0,7,높음,재산분할 변호사
파주변호사,80,120,200,0.2,2.2,0.26,1.87,10,높음,창원 변호사
대전성범죄전문변호사,50,140,190,1.1,0.6,2.29,0.41,7,높음,창원 성범죄 변호사
통영변호사,100,90,190,0.2,6.4,0.2,7.2,10,높음,창원 형사전문변호사 | 창원 형사 변호사 | 창원 변호사
상속재산분할합의서,90,100,190,0.1,0.6,0.12,0.64,10,높음,재산분할 변호사
이혼협의서,70,120,190,0.4,1.2,0.59,1.01,7,높음,재산분할 변호사
합의이혼서,80,110,190,0.6,0.5,0.74,0.48,7,높음,재산분할 변호사
부천법률사무소,50,140,190,0,3.4,0,2.37,10,높음,창원 변호사
인천변호사상담,130,60,190,1.3,3,1.03,5,10,높음,창원 변호사
영덕법원,40,150,190,0,0,0,0,1,중간,창원 변호사
마산변호사,70,110,180,0.1,2.6,0.14,2.46,10,높음,창원 검사출신 변호사 | 창원 형사전문변호사 | 창원 음주운전 변호사 | 창원 이혼 변호사 | 창원 형사 변호사 | 창원 변호사
창원음주운전전문변호사,150,30,180,0,1,0,3.71,10,높음,창원 검사출신 변호사 | 창원 형사전문변호사 | 창원 음주운전 변호사 | 창원 이혼 변호사 | 창원 형사 변호사 | 창원 변호사
서울형사변호사,160,20,180,0.1,0.4,0.07,1.67,10,높음,창원 형사전문변호사 | 창원 형사 변호사
안산이혼변호사,110,70,180,0.3,4.4,0.27,6.03,10,높음,창원 이혼 변호사
대구이혼,40,140,180,0.4,1.8,0.86,1.57,10,높음,창원 이혼 변호사
평택법무법인,60,120,180,1.4,2.2,2.3,2,10,높음,창원 이혼 변호사 | 창원 변호사
명예훼손고소장,60,120,180,0,0.8,0,0.67,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
분쟁등에,30,150,180,0,0,0,0,2,중간,사이버 명예훼손 변호사 | 모욕죄 변호사
